,text
0,"RT @marciachorney: SUCCESS: Before PLEASURE there must be SACRIFICE! - Marcia Chorney

#MondayMotivation #Mondayvibes #MondayMorning #quote…"
1,❗ Earn #CME from our social media #livestream! Join experts tomorrow as they discuss recognizing new mechanisms of… https://t.co/YmJwdns7PC
2,"RT @intern_amanda1: Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to see…"
3,"RT @darongerschmd: Top medical groups ask Congress to prioritize Medicare payments, mental health and more. ⁦@aafp⁩ ⁦@MNFamilyDocs⁩ #medica…"
4,"RT @shikeshsorathia: ""I am going to remind you about who you are by simply being who I am."" - Shikesh Sorathia

#quote #life #mentalhealth…"
5,@benzosarebad @_eleven13_ @atomicaceso @TruthCampaigns @ElizabethlGray1 I’m sorry that you have that viewpoint beca… https://t.co/ccjDRrIHLo
6,"RT @SianVidak: Captured this in the afternoon sun. A beautiful moment to enjoy. 
#5minsinnature #mentalhealth #enjoyment #winter #sky #sun…"
7,"Just take a look at what happened at @Twitter. @elonmusk will likely turn the company around, but the damage they d… https://t.co/LMWkZxYmOi"
8,Thankful to have one of our employees as part of this conversation. Moving the #mentalhealth needle forward. https://t.co/gHCLkFNjru
9,"RT @shubhrata_p: It's disheartening to keep explaining my mental health challenges often. It's even worse explaining ADHD, which is a condi…"
10,"RT @midwifehippie: Come and join us! Clinical/Counselling Psychologist 8a in Maternal Mental Health Service, Oxleas. Closes 18/12/22 #menta…"
11,I cannot fathom what the decision processes were to decide to cut mental services in half…. This will cost lives.… https://t.co/UJWOacSjD0
12,"RT @HilaryJHendel: Give the gift of emotions education &amp; change lives for the better.
“One of the best self-help/psychology books I have ev…"
13,"New ways of addressing mental health issues like substance abuse, depression, anxiety and burnout are becoming more… https://t.co/aBVHGJMMku"
14,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
15,"RT @fscarfe: @MiaStJohnBoxer @LACDMH @DHCS_CA @SupJaniceHahn #Together for justice,for loved one's lost in #LA #MentalHealth Facilities, an…"
16,RT @HilaryJHendel: Why Mourning for the Self Is a Necessary Part of Healing | Psychology Today via @PsychToday #trauma #healing #emotions #…
17,The latest puzzle! Two of my students saved the last piece for their classmate.  #mentalhealth #relax #HappyHolidays https://t.co/4gk2EfkXfT
18,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
19,"when you suppress things there comes a point and everything comes to a head; 

basically I had a breakdown in front… https://t.co/bBKXxPAVAm"
20,"RT @intern_amanda1: Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to see…"
21,"RT @nestheads: Will's dodge animation.

Sign up for launch reminder:
https://t.co/kUjlQuyHMw

#mentalhealth #brain #illustration #drawing #…"
22,"#mentalhealth #selfcare #homelessnessawareness #givingbacktothecommunity
We appreciate your continuing support,… https://t.co/TRY7ccD04R"
23,It makes my day when I see a hilarious sign. Have you seen any recently? #blissroad #memoir #books #vineleavespress… https://t.co/Kf9ze8F3Yy
24,RT @SurvivingWk: Should be compulsory for just about anyone interested in the link between #work and #wellbeing. Rarely get author envy. Si…
25,@JD_Quotes2017 Absolutely nothing wrong with speaking out about #mentalhealth in general. Always ok to say you’re struggling too.
26,"RT @PsychiatricNews: To increase access to psychiatric care, the schism between psychiatry and primary care needs to be overcome. https://t…"
27,"RT @Cjtats1975: If u will #listen to what We are telling u and allow ur #heart to respond, then perhaps u will begin to #comprehend what We…"
28,"RT @1SunriseWarrior: “I live my life in the present with courage, purpose, and confidence. It wasn’t always this way. It took work to get h…"
29,Motivational Monday 💪🏾😊☀️ Be humble. #MentalHealthMatters #mentalhealth #keeppushing #peace #blessed… https://t.co/9IsHES0bJl
30,@RichardCityNews @beingbrad They are busy delivering gifts and flowers to their supporters &amp; tweeting usual talking… https://t.co/pgY0Ucx9BV
31,"Latest HealthTech Developments News Updates by HNC Healthcare News Channel

News Title: MindYourself

News Article… https://t.co/A3klsNldRD"
32,"Work Out in Style at Home or at the Gym in Original Fashion.

#sopoyung #atomy #wellness #health #fitness… https://t.co/nMfesAVIlz"
33,With all of the questions and demands the public has for #BrittneyGriner since her return home from Russian impriso… https://t.co/1fsZ2bp3yG
34,"Decade of neglect means #NHS unable to tackle care backlog, report says 

#EnoughIsEnough #ToriesCostLives… https://t.co/j7THeQSB4o"
35,"RT @BBCBreakfast: 🐶 Meet Kory the courtroom support dog 💕 

#doggy #dogs #mentalhealth https://t.co/hE1fUZ3djs"
36,#shop #deals #discounts #affiliatemarketing #digitalmarketing #socialmedia #business #affiliate #links #blogs… https://t.co/MW2kWuUZ6l
37,"Support your child’s mental health! 

https://t.co/mMjPTBpG1o

#mentalhealth https://t.co/xttbX1JZ2O"
38,If you're staying with or you a person who is mentally ill in your circle..... kindly remember to kind...they need… https://t.co/02NlItIDy4
39,"When you take care of your mental health, you create more space in the mind. This also provides more space in relat… https://t.co/qrNZgaumZu"
40,Release day May 19th 2020. It seemed a lifetime ago that medieval wig had said 40 months #prison I shouted “Child a… https://t.co/9OCfIzvWmM
41,"RT @acamh: Year in Review

In this podcast, we talk to @AjaLMurray, @acamh's Kathy Sylva ‘Rising Star’ Winner 2021, about her research into…"
42,"On the latest episode of WNMU-TV PBS #AsktheDoctors, Gregory Jones, Ph.D., psychology, and Cameron Wilcox, MD, psyc… https://t.co/GsnDW9FVPe"
43,"RT @Sparkles4Mental: I love how we slowly discover more and more how diet/nutrition, our gut, the microbiome (gut microbes) , the brain 🧠an…"
44,"@Mark_Butler_MP 
@Mark_Butler_MP 
Are you trying to take a #Robodebt approach to #mentalhealth support?

Government… https://t.co/NifwAITOGR"
45,"RT @dlhampton: 9 Easy Ways to Quickly Relieve Holiday Stress That You Haven't Heard  https://t.co/TrdQhjrVBZ

I'm betting that you know all…"
46,"Getting people to like you isn't the struggle.

Liking yourself more is.

Read more here &gt;&gt;&gt;… https://t.co/aWt05dRufM"
47,"2023 Cybersecurity Predictions

https://t.co/l18jOxCjjS

#infosec #cybersecurity #healthcare #healthcaretech… https://t.co/4I6jeRxKIs"
48,"RT @hihowareyouproj: Jeremiah here to remind you that prioritizing your #mentalhealth is a radical act of kindness. 🐸 It benefits you, thos…"
49,"Shrooms capsules 💊 
#shroomscapsules #shrooms #psilocybin #cubensis #mentalhealth #psychedelicsuk #uk #london #nft… https://t.co/hkzQPVWZAK"
50,"Does #SchizoaffectiveDisorder Make Me #SociallyAwkward? New. | https://t.co/hYk32aJfQY
--
#socialanxiety… https://t.co/LG6tiJ10Gu"
51,#christmas2022 | Best Coursera Courses for Foundations of Positive Psychology Specialization… https://t.co/sF6LjF92xU
