,text
0,"RT @dlennard: GM 😊

After a long hike in the valley, I sat on the porch for a while and looked to the clouds for inspiration.
Here's an hou…"
1,this one is a $30 pick palette kit on etsy 👌🏼 #mentalhealth https://t.co/OWW7Qv4hxR
2,"RT @SelfPubShow3: A raw and gripping story, which also provides a path for people to overcome evils currently facing our society. https://t…"
3,"RT @AnishNation: The holiday season can be busy and stressful, we have some mental health tips to help navigate through the season.

TIP #7…"
4,RT @momof4vegankids: Please #Retweet to help find my #missing son #DaneElkins possibly in #NorthernCalifornia or #Oregon #missingperson  #m…
5,RT @TeachersJourney: Adults and children function best at the speed of trust.' Robert John Meehan #SuccessTrain #FamilyTrain #JoyTrain #Gol…
6,#Mentalhealth https://t.co/pZNAus0eXo
7,"My happy place ☺️ the second hand bookstore. 
#XmasHoliday #BookLover
#booklove #AcademicChatter… https://t.co/68MdwUnKRB"
8,RT @CrashWhiteMagic: Daily Dose of Love: There are many paths to success. Don’t compare where you are in life or happiness to others. Take…
9,"@yukongov @yukonhss @yukonassembly @TracyMcPheeRS @drbrendanhanley @YukonLiberal @YukonNDP 
@SickNotWeak @CBCHealth… https://t.co/9hW3zgX1yS"
10,"Bills, Sabres co-owner ‘progressing’ from health issue #health #mentalhealth #healthcare #goodhealth #research… https://t.co/yJBRbeFxjK"
11,#queer #lgbtqiaplus #nonbinarylesbian #mentalhealth #hallmark
12,"RT @allontheboard: If you struggle with depression please know that you are not alone. 
There are people and organisations you can talk to.…"
13,RT @momof4vegankids: Please #Retweet to help find my #missing son #DaneElkins possibly in #NorthernCalifornia or #Oregon #missingperson  #m…
14,#sotrue #mentalhealth #holidayseason https://t.co/2qGdWByHhY
15,I dont understand. #trending #blog #podcast #health #healthy #new #news #tech #food  #photo #book #lifestyle  #mentalhealth
16,RT @ObtainingBliss: Dealing with anxiety can be extremely difficult. That's why it's so important for you to recognize it. If you can recog…
17,"Words matter, especially when it comes to #MentalHealth. “Committed suicide"" is laden with blame and #stigma. The p… https://t.co/axcoIPjOfj"
18,’Tis the season of traveling!✈️ Discover solutions to your traveling fears in our new blog post! #travelanxiety… https://t.co/SJ2UzbGMmB
19,https://t.co/jZeRSZYqCI #motivation #recovery #recovery #health #mentalhealth https://t.co/YCwk6cBJDJ
20,RT @ThomasLoganTHC: We had a pleasure of playing on the radio station KBEC 1390! We uploaded a acoustic video from that night! #Live #LiveA…
21,Sometimes the smallest step in the right direction ends up being the biggest step of your life. A book by… https://t.co/Y9rLjxQcbV
22,RT @momof4vegankids: Please #Retweet to help find my #missing son #DaneElkins possibly in #NorthernCalifornia or #Oregon #missingperson  #m…
23,RT @BNodoubts: Try not to have your life be driven buy the amount of times you can buy yourself restaurant food and stuff because you can m…
