user,mood,follower_mood
EckhartTolle,0.05,0.06875
JulienHimself,0.281818,0.041667
Headspace,-0.043182,0.1
InsightTimer,-0.133333,0.01125
TrainingMindful,0.362037,
PMOIndia,0,
DeepakChopra,0.15,0.134299
DalaiLama,0.125,0.085
Oprah,0.261111,0.246286
TonyRobbins,0.321681,
BabaRamDass,0.429167,0
tinybuddha,0.024306,-0.003367
Zen_Moments,0,0.144468
mindfulnessbell,0.379167,-0.029583
wkup,0.4,0.128316
TaraBrach,0.491667,0
APAHealthyMinds,0.55,0.019833
PsychCentral,0.06963,
PsychToday,0.084259,
PsychNews,0,
MindfulEveryday,0.033333,0.160685
JackKornfield,0.244444,0.02
10percent,0.270942,0.2775
JamesFrancoTV,,0.045833
annakendrick47,0.116667,0.014167
SteveMartinToGo,0.022727,0.1749976
PamGrier,0.055556,0.24625
JimCarrey,-0.1,0.148561
carriefisher,0,
samuelLJackson,0.291667,0.11875
IanMcKellen,0.269444,
jadapsmith,0.2925,-0.078333
ladygaga,0.516667,
justinbieber,0.036111,0
britneyspears,0.204427,0.013466
taylorswift13,0.222222,0.15
katyperry,0.082292,0.233333
rihanna,0.125,
MileyCyrus,0.056818,
rustyrockets,-0.121212,0.085
TheEllenShow,0.194048,-0.09
selenagomex,0,
adamlambert,0.083333,-0.001705
JLo,0.036667,0
Cher,0.016667,0
