,user,tweet,source
0,Gra6011,"RT @HBOMaxLA: @Gra6011, por tu gran fortaleza, y por la conexión que has forjado con el reino, eres Príncipe/Princesa de Dragonstone de la…",Twitter for Android
1,Gra6011,"RT @asoiafsp: ¿Team Daemon o Team Criston? 

RT- Criston
Me Gusta- Daemon 
#HouseOfTheDragon https://t.co/EUlo0vFVKU",Twitter for Android
2,Gra6011,@despoleo Canadiense de Terrabusi,Twitter for Android
3,Gra6011,"RT @MoskitaMuertaOk: ¿Quién merece ganar #ElHotelDeLosFamosos?
RT Alex Caniggia 
FAV Martín Salwe https://t.co/kKhDWvjfak",Twitter for Android
4,Gra6011,"RT @ElHotelTrivia: ¿TRAICIÓN? ¿JUEGO? 😱

¿Bancas a Lissa Vera? 

🔁 SI
❤️ NO

#ElHotelDeLosFamosos https://t.co/G2l4vdwXZD",Twitter for Android
5,Gra6011,"RT @ElHotelTrivia: ¡MAJO VOLVIÓ CON TODO! 😱 

¿La bancas?

🔁 NO

❤️ SI

#ElHotelDeLosFamosos https://t.co/s96bV78DSK",Twitter for Android
6,Gra6011,"RT @ElHotelTrivia: ¡NO SE PUEDEN NI VER! 

¿A quien bancas vos? 

🔁 Melody

❤️ Majo

#ElHotelDeLosFamosos

Vota acá también 👉🏻 https://t.co…",Twitter for Android
7,Gra6011,@avientapelucas Un mundo perfecto by Clint,Twitter for Android
8,Gra6011,@Miles_Teller @paramountplus Thanks Miles and entire team! we made me happy enjoying the amazing 10 episodes! Congr… https://t.co/aiJzzWxV2D,Twitter for Android
9,Gra6011,"RT @gustavobj64: A ver si OSDE cumple con pagarle la medicación a Micaela Bozzano.
No sé puede ser tan miserable.",Twitter for Android
10,Gra6011,"RT @Channy_catuna: #OSDE
OSDE ENTREGÁ A MICAELA BOZZANO EL MEDICAMENTO SPINRAZA PARA MEJORAR SU CONDICIÓN DE VIDA. Por favor RT
#VivianaCon…",Twitter for Android
11,Gra6011,@alfinaldedylan What a team to be with,Twitter for Android
12,Gra6011,"RT @alfinaldedylan: David Lynch, Angelo Badalamenti, Naomi Watts, Laura Elena Harring &amp; Justin Theroux. 

Cannes Film Festival, 2001. https…",Twitter for Android
13,Gra6011,"RT @Clark1995Clark: I have these signed @rickygervais photos to give away to one lucky fan. 

Just FOLLOW, LIKE and RT and I’ll choose a wi…",Twitter for Android
14,Gra6011,"RT @hernanschell: Y de paso, está en preventa mi libro sobre Kubrick, el más extraño y polémico de los cineastas canónicos americanos. Tien…",Twitter for Android
15,Gra6011,"RT @TENDENCIASok: A QUIEN BANCAS???

TOMAS FONZI 👉 RT

MICA VICICONTE 👉 FAV 

#MasterChefCelebrity 
#MasterChefArgentina 
#MasterChef https…",Twitter for Android
16,Gra6011,@hernanschell Abrazo! lo mejor siempre está por venir!!,Twitter for Android
17,Gra6011,@valeriaschapira Pig con genio de Nicolas Cage https://t.co/7Qc42thrZi,Twitter for Android
18,Gra6011,RT @hernanschell: Historia del cine. Siete módulos durante siete meses. Algunas películas y directores canónicos mezclados con otras cosas…,Twitter for Android
19,Gra6011,RT @hernanschell: Bueno gente. Como el 10 empiezan mis dos cursos online de @asalallena vengo a dejar aquí mi acostumbrado pequeño hilo par…,Twitter for Android
20,mediocreironman,@wealth_director I love you but I don’t love you,Twitter for iPhone
21,NhiHemingway,@AmyKendall @threehourcoffee Still up at 6am every morning but I am trying to get to bed earlier. Just figured out that's the key🤦🏻‍♀️,Twitter Web App
22,NhiHemingway,@AmyKendall @threehourcoffee AND it has the numbers on the side which were a MUST for you,Twitter Web App
23,NhiHemingway,@AmyKendall @threehourcoffee Ohhhhhh I like! Cute round keys + great colours. Did you do it? And how are you feeling?!,Twitter Web App
24,NhiHemingway,@AmyKendall Great to hear New Place is getting better! I've also had a tough week! Not much sleep this week at all.… https://t.co/YjOg7FAPYa,Twitter Web App
25,NhiHemingway,@threehourcoffee Hadn't considered doing so until now! 😇,Twitter Web App
26,NhiHemingway,@threehourcoffee I am having THE BEST time reviewing these recordings twitter fam hahahaha,Twitter Web App
27,NhiHemingway,@threehourcoffee @TheWeeklyBuild @adhdjesse Just saw you posted this! 🤣 can’t have any fun without it being shared to your twitter fam!,Twitter for iPhone
28,NhiHemingway,@AmyKendall How is your week going?,Twitter Web App
29,NhiHemingway,@AmyKendall I did all right in the end!! Go us!! https://t.co/wLTmD72G7f,Twitter for iPhone
30,NhiHemingway,@threehourcoffee Bahahaha “Hey! Welcome! I’m Lulu… see ya!” 🤣,Twitter for iPhone
31,NhiHemingway,@AmyKendall @llamalifeco I'm in the 'super clingy 4 year old' and 'super painful 15 month old teething' stages. Must. Be. Strong.,Twitter Web App
32,NhiHemingway,@AmyKendall Ahhhh ok! Yep @threehourcoffee and I were chatting this morning about the rise in cases everywhere...,Twitter Web App
33,NhiHemingway,@AmyKendall Ok accountability buddy! I'll touch base in a few hours :),Twitter Web App
34,NhiHemingway,@AmyKendall Thank you! ❤️ means A LOT,Twitter Web App
35,NhiHemingway,@AmyKendall I was literally just about to ask how it was all going!!,Twitter Web App
36,NhiHemingway,sharing so you all can keep my accountable #sendForLulu https://t.co/emsKt1FYEo,Twitter Web App
37,NhiHemingway,"@llamalifeco After a weekend of zero sleep due to my toddler teething, I need some motivation today to help me focus! #sendForLulu",Twitter Web App
38,NhiHemingway,"@AmyKendall @llamalifeco I switch between the two. Both work for me, no preference here. Depends on my mood 🤔",Twitter Web App
39,NhiHemingway,@threehourcoffee @poppacalypse 🤦🏻‍♀️,Twitter Web App
40,NhiHemingway,@poppacalypse @threehourcoffee rude really!,Twitter Web App
41,sandhu202,"RT @Alhamdhulillaah: May Allah invite us to His house

https://t.co/JP0MQ7PRP2",Twitter for Android
42,sandhu202,"RT @brfootball: THE WORLD CUP IS HERE.

Time to play 🤩 https://t.co/zULYIdKfud",Twitter for Android
43,sandhu202,"RT @TansuYegen: FIFA World Cup Qatar 2022 Fireworks Opening

 https://t.co/jRMd18vwKx",Twitter for Android
