Unnamed: 0,text,yoga,therapy,workout,Processed_tweet
0,"RT @marciachorney: SUCCESS: Before PLEASURE there must be SACRIFICE! - Marcia Chorney

#MondayMotivation #Mondayvibes #MondayMorning #quote…",0,0,0,@marciachorney: SUCCESS: Before PLEASURE must SACRIFICE! - Marcia Chorney #MondayMotivation #Mondayvibes #MondayMorning #quote…
1,❗ Earn #CME from our social media #livestream! Join experts tomorrow as they discuss recognizing new mechanisms of… https://t.co/YmJwdns7PC,0,0,0,❗ Earn #CME social medium #livestream! Join expert tomorrow discus recognizing new mechanism of… https://t.co/YmJwdns7PC
2,"RT @intern_amanda1: Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to see…",0,0,0,"@intern_amanda1: Problem: people regional Australia difficulty accessing #Mentalhealth services, long waiting list see…"
3,"RT @darongerschmd: Top medical groups ask Congress to prioritize Medicare payments, mental health and more. ⁦@aafp⁩ ⁦@MNFamilyDocs⁩ #medica…",0,0,0,"@darongerschmd: Top medical group ask Congress prioritize Medicare payments, mental health more. ⁦@aafp⁩ ⁦@MNFamilyDocs⁩ #medica…"
4,"RT @shikeshsorathia: ""I am going to remind you about who you are by simply being who I am."" - Shikesh Sorathia

#quote #life #mentalhealth…",0,0,0,"@shikeshsorathia: ""I going remind simply I am."" - Shikesh Sorathia #quote #life #mentalhealth…"
5,@benzosarebad @_eleven13_ @atomicaceso @TruthCampaigns @ElizabethlGray1 I’m sorry that you have that viewpoint beca… https://t.co/ccjDRrIHLo,0,0,0,@benzosarebad @_eleven13_ @atomicaceso @TruthCampaigns @ElizabethlGray1 I’m sorry viewpoint beca… https://t.co/ccjDRrIHLo
6,"RT @SianVidak: Captured this in the afternoon sun. A beautiful moment to enjoy. 
#5minsinnature #mentalhealth #enjoyment #winter #sky #sun…",0,0,0,@SianVidak: Captured afternoon sun. A beautiful moment enjoy. #5minsinnature #enjoyment #winter #sky #sun…
7,"Just take a look at what happened at @Twitter. @elonmusk will likely turn the company around, but the damage they d… https://t.co/LMWkZxYmOi",0,0,0,"Just take look happened @Twitter. @elonmusk likely turn company around, damage d… https://t.co/LMWkZxYmOi"
8,Thankful to have one of our employees as part of this conversation. Moving the #mentalhealth needle forward. https://t.co/gHCLkFNjru,0,0,0,Thankful one employee part conversation. Moving needle forward. https://t.co/gHCLkFNjru
9,"RT @shubhrata_p: It's disheartening to keep explaining my mental health challenges often. It's even worse explaining ADHD, which is a condi…",0,0,0,"@shubhrata_p: It's disheartening keep explaining mental health challenge often. It's even worse explaining ADHD, condi…"
10,"RT @midwifehippie: Come and join us! Clinical/Counselling Psychologist 8a in Maternal Mental Health Service, Oxleas. Closes 18/12/22 #menta…",0,0,0,"@midwifehippie: Come join us! Clinical/Counselling Psychologist 8a Maternal Mental Health Service, Oxleas. Closes 18/12/22 #menta…"
