,Tweet,User,Time
0,"RT @kitaroanime50th: 【 #ゲゲゲ忌2022 トークセッション】
 #沢城みゆき さん、 #梶裕貴 さん、
そして新作の制作スタッフによるトークセッションのチケットが本日11/12(土)12:00より一般販売開始！

新作アニメについての新情報も！

▼チケ…",KAJI__OFFICIAL,2022-11-12 04:19:06+00:00
1,"これよ…これだったのよ…！
舞台挨拶で言ってた楽曲は…！！

まさかの三浦大知さん！
驚いたし、嬉しかったー！
「(RE)PLAY」めちゃくちゃかっこいいです。
お楽しみにー！！ https://t.co/uhD9121G4J",KAJI__OFFICIAL,2022-11-12 04:14:00+00:00
2,"RT @tonsuki_anime: ／　
🍚サイン色紙プレゼントキャンペーン🍚
＼

TVアニメ『#とんでもスキル』アニメ化記念✨

「ニンリル役 #内田真礼 さんサイン入り色紙」を3名様にプレゼント🔥

[応募方法]
①@tonsuki_animeをフォロー
②こちらのツイ…",MAPPA_Info,2022-11-12 02:34:47+00:00
3,"""Every time we become aware of a thought, as opposed to being lost in a thought, we experience that opening of the… https://t.co/6daAvc0iaZ",InsightTimer,2022-11-12 01:57:00+00:00
4,Stay tuned to local stories to hear from @SyracuseOVMA’s Dwayne Murray ‘97 on today’s #VeteransDay events at… https://t.co/pwhuEOz6lX,SyracuseUNews,2022-11-11 20:26:50+00:00
5,"Little ways to feel some joy some this fall: 
🕯 Fill your space with your favorite scents
🍂 Enjoy cooler weather ou… https://t.co/fLntG41iSc",Headspace,2022-11-11 19:02:01+00:00
6,.@SyracuseU Chancellor Kent Syverud says everyone does a great job making it seem like #VeteransDay is 365 days a y… https://t.co/j3SJVdCDUp,SyracuseUNews,2022-11-11 16:40:47+00:00
7,"Holding onto negativity can turn any sweet thing sour. If it no longer serves you, let it be.",Headspace,2022-11-11 16:19:01+00:00
8,RT @IVMFSyracuseU: Veterans Day is a time to pay our respect to those who have served. We stand united in respect for you. 🇺🇸 #VeteransDay…,SyracuseUNews,2022-11-11 14:07:35+00:00
9,"“Every day is #VeteransDay at Syracuse University!” 

Happy Veterans Day to our nation’s past, present, and future… https://t.co/gJURBUakkA",SyracuseUNews,2022-11-11 13:04:29+00:00
10,RT @DarylLovell: #ICYMI: @SyracuseOVMA executive director Ron Novack (@rnovack82) joined @WSYRNews' @DaveAllenShow this morning to talk abo…,SyracuseUNews,2022-11-11 13:02:52+00:00
11,"作家と声優、ものづくり。
川上さんとは初対面だったにも関わらず、
かなりディープなお話ができました。ぜひ！ https://t.co/RFlgv7ipPs",KAJI__OFFICIAL,2022-11-11 12:40:21+00:00
12,サトシ！！！,KAJI__OFFICIAL,2022-11-11 11:46:46+00:00
13,"RT @voguejp: 「職業声優としての期待と不安も感じます」
「作家はゼロからイチを生み出す仕事ではない」

声優界の内情や、表現者と職業声優の間での葛藤、そして川上の作家観まで。

梶裕貴 ✕ 川上未映子対談（後編）を公開！

@KAJI__OFFICIAL @miek…",KAJI__OFFICIAL,2022-11-11 11:02:39+00:00
14,This Mastering Breathwork Challenge is aimed at shedding light on the numerous benefits of breathwork by introducin… https://t.co/jU9HPh40vQ,InsightTimer,2022-11-11 09:36:44+00:00
15,"【新商品情報】
『#チェンソーマン 』より
ミニキャラクターを使用したグッズ、
公安をイメージしたグッズなどが続々登場！

▼ご予約はこちら！
https://t.co/IpSPnf6Uex

#chainsawman https://t.co/pFleLDpY9F",MAPPA_Info,2022-11-11 08:32:55+00:00
16,"RT @Valentino_Japan: 梶裕貴 ✕ 川上未映子対談 - 言葉と声の可能性を探る
""ヴァレンティノ ザ ナラティブII""を通じて出会ったふたりが、「言葉と声」をテーマに熱量高く語り合う対談。

@mieko_kawakami  @KAJI__OFFICIAL…",KAJI__OFFICIAL,2022-11-11 08:05:59+00:00
17,"RT @hyogokoho: #18歳になったら成人してた件

豪華 #声優 陣をお迎えし
#兵庫県 が #シミュレーションゲーム を配信

cv:#梶裕貴 #優木かな
主人公の声だけではない、らしい…

#進撃の巨人 #七つの大罪  #ヒロアカ #ブラクロ  #ウマ娘 #拡散…",KAJI__OFFICIAL,2022-11-11 07:51:26+00:00
18,"兵庫県発・消費者トラブル回避SLゲーム
『#18歳になったら成人してた件』

田真玲爽(だまされそう)の声を担当🗣
すごい名前！笑

かなり攻めてる世界観で、すごく面白かったです！
無料でサクッとプレイできますので、ぜひ🎮

爽以… https://t.co/VL9E7jQ9Kj",KAJI__OFFICIAL,2022-11-11 06:18:15+00:00
